Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,31.58,32.169998,31.48,32.040001,11902500,32.040001
2016-10-20,31.780001,31.860001,31.389999,31.75,8077600,31.75
2016-10-19,31.540001,31.98,31.48,31.85,9158600,31.85
2016-10-18,31.83,31.879999,31.190001,31.40,7973300,31.40
2016-10-17,31.84,32.060001,31.530001,31.559999,7476100,31.559999
2016-10-14,31.76,31.99,31.68,31.870001,11105600,31.870001
2016-10-13,31.48,31.629999,30.879999,31.51,12102600,31.51
2016-10-12,31.90,31.99,31.65,31.68,5597600,31.68
2016-10-11,32.23,32.279999,31.690001,31.889999,7977500,31.889999
2016-10-10,32.310001,32.599998,32.119999,32.150002,6094800,32.150002
2016-10-07,32.50,32.599998,32.049999,32.34,8909400,32.34
2016-10-06,32.540001,32.639999,32.209999,32.529999,8611200,32.529999
2016-10-05,32.310001,32.779999,32.23,32.68,11093500,32.68
2016-10-04,32.080002,32.470001,32.040001,32.169998,8506200,32.169998
2016-10-03,31.639999,32.240002,31.610001,32.040001,11375900,32.040001
2016-09-30,31.629999,31.950001,31.58,31.77,9330000,31.77
2016-09-29,31.77,31.959999,31.450001,31.48,8821200,31.48
2016-09-28,31.75,31.940001,31.540001,31.90,10713600,31.90
2016-09-27,31.77,31.959999,31.540001,31.60,14465300,31.60
2016-09-26,32.02,32.119999,31.75,31.799999,12700900,31.799999
2016-09-23,32.099998,32.369999,32.049999,32.119999,9812100,32.119999
2016-09-22,32.27,32.470001,32.27,32.389999,12034000,32.389999
