Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,14.04,14.53,13.27,13.34,000,13.34
2016-10-20,14.43,14.72,13.74,13.75,000,13.75
2016-10-19,15.45,15.68,13.87,14.41,000,14.41
2016-10-18,15.82,15.85,15.03,15.28,000,15.28
2016-10-17,17.01,17.110001,16.129999,16.209999,000,16.209999
2016-10-14,16.49,16.50,15.25,16.120001,000,16.120001
2016-10-13,16.879999,17.950001,16.139999,16.690001,000,16.690001
2016-10-12,15.53,16.34,15.26,15.91,000,15.91
2016-10-11,13.71,16.469999,13.69,15.36,000,15.36
2016-10-10,14.19,14.36,13.29,13.38,000,13.38
2016-10-07,13.52,14.15,12.21,13.48,000,13.48
2016-10-06,13.11,13.84,12.80,12.84,000,12.84
2016-10-05,13.56,13.68,12.70,12.99,000,12.99
2016-10-04,13.40,14.57,12.92,13.63,000,13.63
2016-10-03,13.75,14.42,13.42,13.57,000,13.57
2016-09-30,14.91,15.20,12.53,13.29,000,13.29
2016-09-29,12.53,15.69,12.14,14.02,000,14.02
2016-09-28,12.90,13.57,12.24,12.39,000,12.39
2016-09-27,13.36,14.76,12.97,13.10,000,13.10
2016-09-26,13.26,14.63,13.26,14.50,000,14.50
2016-09-23,12.00,12.58,11.93,12.29,000,12.29
2016-09-22,13.39,13.39,11.76,12.02,000,12.02
